time,open,high,low,close,volume
2025-09-03 09:00:00,1856.20,1857.00,1855.10,1857.00,226
2025-09-03 09:01:00,1857.00,1860.60,1856.00,1859.90,347
2025-09-03 09:02:00,1859.90,1859.90,1858.50,1859.20,308
2025-09-03 09:03:00,1859.30,1861.00,1859.30,1860.60,180
2025-09-03 09:04:00,1860.60,1860.90,1860.00,1860.50,117
2025-09-03 09:05:00,1860.20,1860.60,1859.20,1859.40,135
2025-09-03 09:06:00,1859.40,1859.40,1857.50,1858.00,131
2025-09-03 09:07:00,1858.00,1858.60,1857.60,1858.50,157
2025-09-03 09:08:00,1858.70,1860.00,1858.10,1858.80,197
2025-09-03 09:09:00,1858.60,1858.60,1856.00,1857.50,178
2025-09-03 09:10:00,1857.80,1857.80,1855.00,1855.80,275
2025-09-03 09:11:00,1855.70,1856.00,1853.50,1854.50,271
2025-09-03 09:12:00,1854.20,1856.00,1854.20,1856.00,201
2025-09-03 09:13:00,1856.20,1856.80,1855.60,1856.10,126
2025-09-03 09:14:00,1855.70,1856.00,1853.00,1853.90,232
2025-09-03 09:15:00,1853.60,1856.90,1853.20,1856.90,274
2025-09-03 09:16:00,1856.80,1857.50,1855.10,1857.20,237
2025-09-03 09:17:00,1857.20,1857.50,1856.00,1857.10,143
2025-09-03 09:18:00,1857.20,1858.00,1856.10,1858.00,190
2025-09-03 09:19:00,1857.90,1859.30,1857.80,1859.00,271
2025-09-03 09:20:00,1859.00,1860.00,1858.20,1858.80,304
2025-09-03 09:21:00,1858.40,1859.30,1857.70,1858.90,133
2025-09-03 09:22:00,1858.40,1859.20,1857.30,1858.00,133
2025-09-03 09:23:00,1858.00,1858.70,1857.70,1858.30,98
2025-09-03 09:24:00,1858.40,1858.90,1854.60,1855.10,268
2025-09-03 09:25:00,1855.30,1855.50,1850.20,1851.00,643
2025-09-03 09:26:00,1851.20,1852.40,1848.80,1850.40,405
2025-09-03 09:27:00,1850.00,1851.40,1849.60,1850.90,316
2025-09-03 09:28:00,1850.90,1852.00,1850.20,1851.50,346
2025-09-03 09:29:00,1851.80,1852.90,1851.20,1852.90,289
2025-09-03 09:30:00,1852.70,1852.70,1851.00,1851.90,193
2025-09-03 09:31:00,1852.00,1853.50,1852.00,1852.80,189
2025-09-03 09:32:00,1853.10,1855.00,1853.00,1854.30,222
2025-09-03 09:33:00,1854.20,1856.30,1854.00,1855.50,200
2025-09-03 09:34:00,1855.50,1856.00,1854.40,1855.70,121
2025-09-03 09:35:00,1855.20,1855.40,1854.10,1855.00,102
2025-09-03 09:36:00,1855.00,1855.00,1853.20,1854.00,100
2025-09-03 09:37:00,1853.80,1854.20,1852.30,1852.70,171
2025-09-03 09:38:00,1853.00,1853.70,1850.60,1852.10,145
2025-09-03 09:39:00,1852.40,1852.40,1850.30,1851.00,173
2025-09-03 09:40:00,1850.90,1851.80,1850.00,1850.00,177
2025-09-03 09:41:00,1850.00,1850.90,1848.00,1848.50,453
2025-09-03 09:42:00,1848.70,1850.30,1848.00,1850.30,346
2025-09-03 09:43:00,1850.40,1852.00,1849.50,1851.60,235
2025-09-03 09:44:00,1851.50,1852.80,1851.10,1852.00,123
2025-09-03 09:45:00,1851.80,1852.00,1850.60,1850.80,121
2025-09-03 09:46:00,1851.10,1852.00,1850.80,1851.70,133
2025-09-03 09:47:00,1851.50,1851.90,1851.10,1851.70,114
2025-09-03 09:48:00,1851.00,1852.50,1851.00,1852.10,81
2025-09-03 09:49:00,1852.00,1852.60,1851.10,1851.80,222
2025-09-03 09:50:00,1851.70,1851.90,1850.80,1851.70,104
2025-09-03 09:51:00,1850.90,1852.50,1850.90,1852.50,95
2025-09-03 09:52:00,1852.60,1854.00,1852.60,1853.50,220
2025-09-03 09:53:00,1853.40,1854.00,1852.80,1852.80,141
2025-09-03 09:54:00,1853.00,1853.70,1852.80,1853.50,111
2025-09-03 09:55:00,1853.60,1854.30,1853.40,1853.70,46
2025-09-03 09:56:00,1853.50,1853.60,1852.50,1853.40,127
2025-09-03 09:57:00,1853.60,1854.10,1853.30,1853.90,127
2025-09-03 09:58:00,1854.30,1854.30,1853.40,1853.80,85
2025-09-03 09:59:00,1854.20,1855.00,1853.80,1854.70,199
2025-09-03 10:00:00,1854.70,1855.60,1854.50,1855.60,550
2025-09-03 10:01:00,1855.60,1857.70,1855.60,1856.90,298
2025-09-03 10:02:00,1856.80,1858.80,1856.70,1858.10,454
2025-09-03 10:03:00,1858.20,1860.60,1858.10,1859.80,499
2025-09-03 10:04:00,1859.70,1860.10,1858.50,1859.10,454
2025-09-03 10:05:00,1859.30,1859.90,1858.50,1859.50,309
2025-09-03 10:06:00,1859.50,1859.90,1858.40,1859.20,112
2025-09-03 10:07:00,1859.30,1860.00,1858.50,1859.50,137
2025-09-03 10:08:00,1859.50,1860.60,1859.00,1860.10,187
2025-09-03 10:09:00,1860.10,1860.10,1858.20,1858.50,187
2025-09-03 10:10:00,1858.70,1858.70,1857.20,1857.30,126
2025-09-03 10:11:00,1857.50,1858.00,1857.30,1857.60,148
2025-09-03 10:12:00,1858.00,1858.30,1857.60,1858.30,92
2025-09-03 10:13:00,1858.40,1859.50,1858.40,1858.50,84
2025-09-03 10:14:00,1858.70,1858.90,1856.30,1856.60,242
2025-09-03 10:15:00,1856.50,1857.60,1856.50,1857.40,179
2025-09-03 10:16:00,1857.30,1858.00,1856.60,1857.20,100
2025-09-03 10:17:00,1856.80,1857.80,1856.20,1857.20,149
2025-09-03 10:18:00,1857.40,1859.00,1857.20,1859.00,82
2025-09-03 10:19:00,1858.50,1860.00,1858.00,1858.00,186
2025-09-03 10:20:00,1858.50,1860.20,1857.10,1860.00,118
2025-09-03 10:21:00,1860.00,1861.00,1859.40,1861.00,294
2025-09-03 10:22:00,1861.30,1863.10,1861.30,1862.00,421
2025-09-03 10:23:00,1861.90,1862.80,1861.20,1861.20,217
2025-09-03 10:24:00,1861.30,1862.50,1860.90,1862.20,247
2025-09-03 10:25:00,1862.30,1862.80,1862.00,1862.50,224
2025-09-03 10:26:00,1862.40,1862.80,1861.30,1862.10,194
2025-09-03 10:27:00,1862.00,1862.80,1861.70,1861.70,221
2025-09-03 10:28:00,1862.00,1862.00,1859.80,1860.20,142
2025-09-03 10:29:00,1860.20,1860.60,1858.10,1858.50,236
2025-09-03 10:30:00,1858.50,1859.30,1858.00,1859.20,275
2025-09-03 10:31:00,1859.00,1859.30,1858.00,1858.00,211
2025-09-03 10:32:00,1858.30,1859.50,1858.00,1859.00,131
2025-09-03 10:33:00,1859.00,1859.40,1858.50,1859.10,122
2025-09-03 10:34:00,1858.90,1859.10,1857.20,1857.20,220
2025-09-03 10:35:00,1857.20,1857.80,1856.20,1856.20,193
2025-09-03 10:36:00,1856.30,1857.50,1856.30,1857.00,128
2025-09-03 10:37:00,1857.00,1857.00,1855.20,1856.00,221
2025-09-03 10:38:00,1856.00,1856.00,1853.50,1854.50,351
2025-09-03 10:39:00,1854.60,1854.60,1852.10,1852.60,417
2025-09-03 10:40:00,1852.10,1853.50,1851.50,1852.60,322
2025-09-03 10:41:00,1852.60,1852.60,1849.60,1850.00,261
2025-09-03 10:42:00,1850.40,1850.50,1849.00,1850.40,422
2025-09-03 10:43:00,1850.10,1850.70,1849.50,1850.00,160
2025-09-03 10:44:00,1849.50,1850.00,1845.00,1846.00,474
2025-09-03 10:45:00,1845.80,1848.00,1845.00,1847.00,484
2025-09-03 10:46:00,1847.10,1848.70,1846.80,1847.60,333
2025-09-03 10:47:00,1847.70,1849.40,1847.60,1849.40,385
2025-09-03 10:48:00,1849.50,1849.50,1848.50,1849.00,135
2025-09-03 10:49:00,1849.00,1849.10,1848.00,1848.40,100
2025-09-03 10:50:00,1848.20,1848.50,1847.60,1848.20,94
2025-09-03 10:51:00,1848.00,1848.30,1846.20,1847.00,235
