entry_price,exit_price,side,qty,pnl,reason,ts
1338.0,1338.4,-1,2000,-800.0000000001819,sl,2025-01-02 11:02:00
1340.6,1339.1,-1,1999,2998.5,tp,2025-01-03 09:18:00
1340.6,1340.0,1,2000,-1199.999999999818,sl,2025-01-03 09:50:00
1327.4,1328.6,-1,2000,-2399.999999999636,sl,2025-01-03 13:40:00
1328.1,1325.7,-1,1999,4797.5999999997275,tp,2025-01-03 14:23:00
1325.8,1325.3,1,2000,-1000.0,sl,2025-01-06 09:39:00
1323.0,1321.8,-1,2000,2400.000000000091,tp,2025-01-07 10:11:00
1314.8,1315.6,-1,2000,-1599.999999999909,sl,2025-01-08 11:29:00
1314.1,1315.2,-1,2000,-2200.000000000273,sl,2025-01-09 11:14:00
1317.2,1316.1,1,2000,-2200.000000000273,sl,2025-01-10 09:26:00
1316.8,1316.1,1,1999,-1399.300000000091,sl,2025-01-10 10:16:00
1312.9,1311.8,-1,1999,2198.9000000002725,tp,2025-01-10 11:14:00
1308.3,1307.1,-1,1999,2398.800000000091,tp,2025-01-10 13:21:00
1304.4,1302.1,-1,2000,4600.000000000364,tp,2025-01-10 14:19:00
1291.7,1290.6,1,2000,-2200.000000000273,sl,2025-01-13 10:13:00
1291.4,1297.0,1,2000,11199.999999999818,tp,2025-01-13 13:28:00
1290.5,1291.7,-1,2000,-2400.000000000091,sl,2025-01-14 13:36:00
1295.3,1295.8,-1,2000,-1000.0,sl,2025-01-15 09:51:00
1297.8,1299.0,1,2000,2400.000000000091,tp,2025-01-15 10:59:00
1297.2,1299.2,1,2000,4000.0,tp,2025-01-15 14:20:00
1306.7,1305.9,1,2000,-1599.999999999909,sl,2025-01-16 10:33:00
1301.4,1300.6,1,2000,-1600.0000000003638,sl,2025-01-16 13:26:00
1299.1,1297.6,-1,2000,3000.0,tp,2025-01-16 13:33:00
1299.8,1298.8,1,2000,-2000.0,sl,2025-01-16 13:57:00
1296.6,1295.1,-1,2000,3000.0,tp,2025-01-16 14:45:00
1309.5,1308.8,1,2000,-1400.000000000091,sl,2025-01-17 11:02:00
1310.1,1319.9,1,2000,19600.000000000364,tp,2025-01-17 11:34:00
1316.1,1318.3,1,2000,4400.000000000091,tp,2025-01-17 14:21:00
1324.1,1323.1,-1,2000,2000.0,tp,2025-01-20 11:25:00
1321.0,1321.7,-1,2000,-1400.000000000091,sl,2025-01-20 14:04:00
1324.5,1323.7,1,2000,-1599.999999999909,sl,2025-01-20 14:22:00
1328.4,1327.1,-1,2000,2600.000000000364,tp,2025-01-21 10:29:00
1320.9,1322.8,1,2000,3799.999999999727,tp,2025-01-21 14:45:00
1323.8,1325.3,1,2000,3000.0,tp,2025-01-22 10:41:00
1324.0,1322.6,1,2000,-2800.000000000182,sl,2025-01-23 09:08:00
1327.0,1329.7,1,2000,5400.000000000091,tp,2025-01-23 09:34:00
1331.1,1330.5,1,2000,-1199.999999999818,sl,2025-01-23 10:21:00
1339.8,1338.9,1,2000,-1799.9999999997272,sl,2025-01-23 13:22:00
1343.9,1345.9,1,2000,4000.0,tp,2025-01-23 14:14:00
1339.4,1338.2,-1,2000,2400.000000000091,tp,2025-01-24 10:15:00
1340.6,1340.0,1,2000,-1199.999999999818,sl,2025-01-24 10:57:00
1339.2,1339.9,-1,2000,-1400.000000000091,sl,2025-01-24 11:12:00
